HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,,
101,Uzbekistan,HIGH,0.727,70.9,12.5,11.9,"7,917",18,107,,
102,Dominica,HIGH,0.720,72.8,13.3,8.1,"11,488",0,106,,
102,Jordan,HIGH,0.720,74.3,10.6,10.4,"9,924",8,104,,
104,Libya,HIGH,0.718,71.9,12.9,7.6,"15,336",-27,117,,
105,Paraguay,HIGH,0.717,70.3,13.0,8.9,"12,349",-10,100,,
106,"Palestine, State of",HIGH,0.715,73.5,13.4,9.9,"6,583",21,109,,
106,Saint Lucia,HIGH,0.715,71.1,12.9,8.5,"12,048",-7,104,,
108,Guyana,HIGH,0.714,65.7,12.5,8.6,"22,465",-47,107,,
109,South Africa,HIGH,0.713,62.3,13.6,11.4,"12,948",-17,102,,
110,Jamaica,HIGH,0.709,70.5,13.4,9.2,"8,834",4,110,,
111,Samoa,HIGH,0.707,72.8,12.4,11.4,"5,308",24,112,,
112,Gabon,HIGH,0.706,65.8,13.0,9.4,"13,367",-25,113,,
112,Lebanon,HIGH,0.706,75.0,11.3,8.7,"9,526",-1,103,,
114,Indonesia,HIGH,0.705,67.6,13.7,8.6,"11,466",-11,116,,
115,Viet Nam,HIGH,0.703,73.6,13.0,8.4,"7,867",6,113,,
116,Philippines,MEDIUM ,0.699,69.3,13.1,9.0,"8,920",-3,113,,
117,Botswana,MEDIUM ,0.693,61.1,12.3,10.3,"16,198",-43,110,,
118,Bolivia (Plurinational State of),MEDIUM ,0.692,63.6,14.9,9.8,"8,111",0,119,,
118,Kyrgyzstan,MEDIUM ,0.692,70.0,13.2,11.4,"4,566",26,121,,
120,Venezuela (Bolivarian Republic of),MEDIUM ,0.691,70.6,12.8,11.1,"4,811",20,118,,
121,Iraq,MEDIUM ,0.686,70.4,12.1,7.9,"9,977",-12,122,,
122,Tajikistan,MEDIUM ,0.685,71.6,11.7,11.3,"4,548",23,126,,
123,Belize,MEDIUM ,0.683,70.5,13.0,8.8,"6,309",6,120,,
123,Morocco,MEDIUM ,0.683,74.0,14.2,5.9,"7,303",1,122,,
125,El Salvador,MEDIUM ,0.675,70.7,12.7,7.2,"8,296",-8,124,,
126,Nicaragua,MEDIUM ,0.667,73.8,12.6,7.1,"5,625",6,129,,
127,Bhutan,MEDIUM ,0.666,71.8,13.2,5.2,"9,438",-15,125,,
128,Cabo Verde,MEDIUM ,0.662,74.1,12.6,6.3,"6,230",2,127,,
129,Bangladesh,MEDIUM ,0.661,72.4,12.4,7.4,"5,472",4,128,,
130,Tuvalu,MEDIUM ,0.641,64.5,9.4,10.6,"6,351",-2,131,,
131,Marshall Islands,MEDIUM ,0.639,65.3,10.2,10.9,"4,620",12,131,,
132,India,MEDIUM ,0.633,67.2,11.9,6.7,"6,590",-6,130,,
133,Ghana,MEDIUM ,0.632,63.8,12.0,8.3,"5,745",-2,135,,
134,Micronesia (Federated States of),MEDIUM ,0.628,70.7,11.5,7.8,"3,696",22,136,,
135,Guatemala,MEDIUM ,0.627,69.2,10.6,5.7,"8,723",-20,133,,
136,Kiribati,MEDIUM ,0.624,67.4,11.8,8.0,"4,063",14,137,,
137,Honduras,MEDIUM ,0.621,70.1,10.1,7.1,"5,298",-1,138,,
138,Sao Tome and Principe,MEDIUM ,0.618,67.6,13.4,6.2,"4,021",13,139,,
139,Namibia,MEDIUM ,0.615,59.3,11.9,7.2,"8,634",-23,134,,
140,Lao People's Democratic Republic,MEDIUM ,0.607,68.1,10.1,5.4,"7,700",-18,142,,
140,Timor-Leste,MEDIUM ,0.607,67.7,12.6,5.4,"4,461",7,140,,
140,Vanuatu,MEDIUM ,0.607,70.4,11.5,7.1,"3,085",23,142,,
143,Nepal,MEDIUM ,0.602,68.4,12.9,5.1,"3,877",10,144,,
144,Eswatini (Kingdom of),MEDIUM ,0.597,57.1,13.7,5.6,"7,679",-21,141,,
145,Equatorial Guinea,MEDIUM ,0.596,60.6,9.7,5.9,"12,074",-47,147,,
146,Cambodia,MEDIUM ,0.593,69.6,11.5,5.1,"4,079",3,148,,
146,Zimbabwe,MEDIUM ,0.593,59.3,12.1,8.7,"3,810",9,145,,
148,Angola,MEDIUM ,0.586,61.6,12.2,5.4,"5,466",-14,149,,
149,Myanmar,MEDIUM ,0.585,65.7,10.9,6.4,"3,851",5,145,,
150,Syrian Arab Republic,MEDIUM ,0.577,72.1,9.2,5.1,"4,192",-2,152,,
151,Cameroon,MEDIUM ,0.576,60.3,13.1,6.2,"3,621",6,150,,
152,Kenya,MEDIUM ,0.575,61.4,10.7,6.7,"4,474",-6,150,,
153,Congo,MEDIUM ,0.571,63.5,12.3,6.2,"2,889",11,153,,
154,Zambia,MEDIUM ,0.565,61.2,10.9,7.2,"3,218",7,154,,
155,Solomon Islands,MEDIUM ,0.564,70.3,10.3,5.7,"2,482",13,155,,
156,Comoros,MEDIUM ,0.558,63.4,11.9,5.1,"3,142",6,156,,
156,Papua New Guinea,MEDIUM ,0.558,65.4,10.4,4.7,"4,009",-4,157,,
158,Mauritania,MEDIUM ,0.556,64.4,9.4,4.9,"5,075",-20,158,,
159,Côte d'Ivoire,MEDIUM ,0.550,58.6,10.7,5.2,"5,217",-22,159,,
160,Tanzania (United Republic of),LOW,0.549,66.2,9.2,6.4,"2,664",7,160,,
161,Pakistan,LOW,0.544,66.1,8.7,4.5,"4,624",-19,161,,
162,Togo,LOW,0.539,61.6,13.0,5.0,"2,167",12,163,,
163,Haiti,LOW,0.535,63.2,9.7,5.6,"2,848",2,162,,
163,Nigeria,LOW,0.535,52.7,10.1,7.2,"4,790",-22,163,,
165,Rwanda,LOW,0.534,66.1,11.2,4.4,"2,210",6,165,,
166,Benin,LOW,0.525,59.8,10.8,4.3,"3,409",-7,166,,
166,Uganda,LOW,0.525,62.7,10.1,5.7,"2,181",6,166,,
168,Lesotho,LOW,0.514,53.1,12.0,6.0,"2,700",-2,168,,
169,Malawi,LOW,0.512,62.9,12.7,4.5,"1,466",13,169,,
170,Senegal,LOW,0.511,67.1,9.0,2.9,"3,344",-10,170,,
171,Djibouti,LOW,0.509,62.3,7.4,4.1,"5,025",-32,171,,
172,Sudan,LOW,0.508,65.3,7.9,3.8,"3,575",-14,171,,
173,Madagascar,LOW,0.501,64.5,10.1,5.1,"1,484",8,173,,
174,Gambia,LOW,0.500,62.1,9.4,4.6,"2,172",-1,173,,
175,Ethiopia,LOW,0.498,65.0,9.7,3.2,"2,361",-5,175,,
176,Eritrea,LOW,0.492,66.5,8.1,4.9,"1,729",3,176,,
177,Guinea-Bissau,LOW,0.483,59.7,10.6,3.6,"1,908",0,177,,
178,Liberia,LOW,0.481,60.7,10.4,5.1,"1,289",7,179,,
179,Congo (Democratic Republic of the),LOW,0.479,59.2,9.8,7.0,"1,076",9,180,,
180,Afghanistan,LOW,0.478,62.0,10.3,3.0,"1,824",-2,177,,
181,Sierra Leone,LOW,0.477,60.1,9.6,4.6,"1,622",-1,181,,
182,Guinea,LOW,0.465,58.9,9.8,2.2,"2,481",-13,182,,
183,Yemen,LOW,0.455,63.8,9.1,3.2,"1,314",1,183,,
184,Burkina Faso,LOW,0.449,59.3,9.1,2.1,"2,118",-8,185,,
185,Mozambique,LOW,0.446,59.3,10.2,3.2,"1,198",2,184,,
186,Mali,LOW,0.428,58.9,7.4,2.3,"2,133",-11,186,,
187,Burundi,LOW,0.426,61.7,10.7,3.1,732,4,187,,
188,Central African Republic,LOW,0.404,53.9,8.0,4.3,966,1,188,,
189,Niger,LOW,0.400,61.6,7.0,2.1,"1,240",-3,189,,
190,Chad,LOW,0.394,52.5,8.0,2.6,"1,364",-7,190,,
191,South Sudan,LOW,0.385,55.0,5.5,5.7,768,-1,191,,
192,Korea (Democratic People's Rep. of),OTHER ,..,73.3,10.8,..,..,..,..,,
193,Monaco,OTHER ,..,85.9,..,..,..,..,..,,
194,Nauru,OTHER ,..,63.6,11.7,..,"17,730",..,..,,
195,Somalia,OTHER ,..,55.3,..,..,"1,018",..,..,,
